blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Galio,Tahm Kench,Varus,Kaisa,11.12,,,,
Leona,Renekton,Braum,Nautilus,11.12,,,,
,,,,,Team Vitality,MAD Lions,blue_side,red_side
Ezreal,Kalista,Gwen,Nocturne,11.12,,,,
Xin Zhao,Varus,Kindred,Rumble,11.12,,,,
Lucian,Thresh,Akali,Jayce,11.12,,,,
KogMaw,Viego,Draven,Galio,11.12,,,,
Lulu,Lee Sin,Braum,Senna,11.12,,,,
,,,,,Rogue,Astralis,blue_side,red_side
Lulu,Gwen,Viego,Riven,11.12,,,,
Thresh,Akali,Rumble,Fiddlesticks,11.12,,,,
Xin Zhao,Renekton,Lee Sin,Nocturne,11.12,,,,
Sett,Tahm Kench,Varus,Kalista,11.12,,,,
Lucian,Sylas,Alistar,Braum,11.12,,,,
,,,,,Misfits Gaming,FC Schalke 04,blue_side,red_side
Lulu,Gwen,Lee Sin,Camille,11.12,,,,
Karma,Renekton,Rumble,Sejuani,11.12,,,,
Xin Zhao,Akali,Sylas,Azir,11.12,,,,
Thresh,Braum,Tristana,Kalista,11.12,,,,
Wukong,Senna,Sett,Nautilus,11.12,,,,
,,,,,SK Gaming,Excel Esports,blue_side,red_side
Lucian,Viego,Karma,Lulu,11.12,,,,
Varus,Akali,Olaf,Lee Sin,11.12,,,,
Rumble,Xin Zhao,Gwen,Ryze,11.12,,,,
Diana,Volibear,Jinx,Aphelios,11.12,,,,
Evelynn,Nocturne,Tahm Kench,Thresh,11.12,,,,
,,,,,G2 Esports,Team Vitality,red_side,blue_side
Kalista,Gwen,Lee Sin,Nocturne,11.12,,,,
Thresh,Xin Zhao,Rumble,Viego,11.12,,,,
Renekton,Akali,Lucian,Twisted Fate,11.12,,,,
Kaisa,Varus,Galio,Tristana,11.12,,,,
Ezreal,Nautilus,Senna,Alistar,11.12,,,,
,,,,,Astralis,Fnatic,red_side,blue_side
Kalista,Ezreal,Gwen,Kennen,11.12,,,,
Akali,Thresh,Diana,Kindred,11.12,,,,
Xin Zhao,Rumble,Sett,Lucian,11.12,,,,
Braum,Lulu,Tahm Kench,Varus,11.12,,,,
Volibear,No ban,Senna,Rell,11.12,,,,
,,,,,FC Schalke 04,Rogue,red_side,blue_side
Thresh,Lulu,Nocturne,Volibear,11.12,,,,
Xin Zhao,Karma,Rumble,Diana,11.12,,,,
Gwen,Akali,Lee Sin,Lucian,11.12,,,,
Braum,Wukong,Kaisa,Ezreal,11.12,,,,
Renekton,Leona,Galio,Nautilus,11.12,,,,
,,,,,MAD Lions,SK Gaming,blue_side,red_side
Fiddlesticks,Lulu,Nocturne,Gwen,11.12,,,,
Rumble,Karma,Sejuani,Lee Sin,11.12,,,,
Renekton,Xin Zhao,Akali,Sylas,11.12,,,,
Senna,Draven,Xayah,Kaisa,11.12,,,,
Thresh,Kalista,Leona,Alistar,11.12,,,,
,,,,,Excel Esports,Misfits Gaming,red_side,blue_side
Volibear,Nocturne,Kennen,Viego,11.12,,,,
Xin Zhao,Lucian,Fiddlesticks,Rumble,11.12,,,,
Gwen,Akali,Jayce,Orianna,11.12,,,,
Nautilus,Morgana,Kalista,Varus,11.12,,,,
No ban,Braum,Blitzcrank,Thresh,11.12,,,,
,,,,,Rogue,G2 Esports,red_side,blue_side
Viego,Xin Zhao,Karma,Renekton,11.12,,,,
Lucian,Gwen,Volibear,Rumble,11.12,,,,
Thresh,Akali,Jayce,Zoe,11.12,,,,
Nautilus,Orianna,Ezreal,Kalista,11.12,,,,
Sylas,Viktor,Leona,Braum,11.12,,,,
,,,,,Excel Esports,Fnatic,red_side,blue_side
Rumble,Akali,Lulu,Camille,11.12,,,,
Lucian,Xin Zhao,Hecarim,Volibear,11.12,,,,
Thresh,Gwen,Ryze,Zoe,11.12,,,,
Nocturne,Viego,KogMaw,Varus,11.12,,,,
Leona,Lee Sin,Nautilus,Karma,11.12,,,,
,,,,,FC Schalke 04,MAD Lions,red_side,blue_side
Lucian,Gwen,Renekton,Nocturne,11.12,,,,
Lulu,Akali,Rumble,Volibear,11.12,,,,
Lee Sin,Karma,Sylas,Orianna,11.12,,,,
Fiddlesticks,Nautilus,Ezreal,Jinx,11.12,,,,
Skarner,Zoe,Leona,Thresh,11.12,,,,
,,,,,Misfits Gaming,Astralis,blue_side,red_side
Ezreal,Lulu,Gwen,Viego,11.12,,,,
Karma,Akali,Rumble,Sejuani,11.12,,,,
Renekton,Thresh,Lucian,Viktor,11.12,,,,
Xin Zhao,Sylas,Varus,Tristana,11.12,,,,
Volibear,Ryze,Tahm Kench,Braum,11.12,,,,
,,,,,Team Vitality,SK Gaming,blue_side,red_side
Nocturne,Karma,Gragas,Lee Sin,11.12,,,,
Lulu,Gwen,Xin Zhao,Rumble,11.12,,,,
Varus,Viego,Akali,Lucian,11.12,,,,
Thresh,Sett,Tristana,Karthus,11.12,,,,
Kaisa,Renekton,Braum,Nautilus,11.12,,,,
,,,,,G2 Esports,Astralis,blue_side,red_side
Lulu,Thresh,Olaf,Renekton,11.12,,,,
Xin Zhao,Gwen,Viego,Rumble,11.12,,,,
Nocturne,Lucian,Akali,Yone,11.12,,,,
Yuumi,Tristana,Kalista,Ezreal,11.12,,,,
Nautilus,Kaisa,Braum,Leona,11.12,,,,
,,,,,Fnatic,Team Vitality,blue_side,red_side
Kalista,Ezreal,Gwen,Nocturne,11.12,,,,
Thresh,Akali,Xin Zhao,Fiddlesticks,11.12,,,,
Rumble,Lee Sin,Syndra,Lucian,11.12,,,,
Varus,Senna,Kaisa,Draven,11.12,,,,
Braum,KogMaw,Alistar,Morgana,11.12,,,,
,,,,,Misfits Gaming,Rogue,red_side,blue_side
Thresh,Renekton,Karma,Lulu,11.12,,,,
Ezreal,Akali,Hecarim,Xin Zhao,11.12,,,,
Gwen,Lucian,Orianna,Azir,11.12,,,,
Sylas,Senna,Tristana,Kaisa,11.12,,,,
Alistar,Kalista,Leona,Nautilus,11.12,,,,
,,,,,MAD Lions,Excel Esports,red_side,blue_side
Thresh,Gwen,Urgot,Sett,11.12,,,,
Lulu,Nocturne,Volibear,Xin Zhao,11.12,,,,
Varus,Akali,Orianna,Ryze,11.12,,,,
Nautilus,Lee Sin,Ezreal,Kaisa,11.12,,,,
Leona,Renekton,Karma,Rakan,11.12,,,,
,,,,,SK Gaming,FC Schalke 04,red_side,blue_side
Ezreal,Gwen,Renekton,Wukong,11.11,,,,
Thresh,Kalista,Rumble,Karthus,11.11,,,,
Olaf,Varus,Jayce,Lucian,11.11,,,,
Udyr,Senna,Ashe,Kaisa,11.11,,,,
Gragas,Draven,Nautilus,Leona,11.11,,,,
,,,,,Rogue,Fnatic,red_side,blue_side
Akali,Thresh,Renekton,Viego,11.11,,,,
Varus,Lulu,Nidalee,Udyr,11.11,,,,
Gwen,Rumble,Orianna,Viktor,11.11,,,,
Sylas,Lillia,Ezreal,Tristana,11.11,,,,
Twisted Fate,Nocturne,Leona,Braum,11.11,,,,
,,,,,SK Gaming,G2 Esports,red_side,blue_side
Lucian,Gwen,Lee Sin,Nocturne,11.11,,,,
Varus,Renekton,Rumble,Volibear,11.11,,,,
Kaisa,Amumu,Corki,Akali,11.11,,,,
Tristana,Twisted Fate,Ezreal,Jhin,11.11,,,,
Kalista,Sylas,Alistar,Leona,11.11,,,,
,,,,,Astralis,MAD Lions,red_side,blue_side
Lulu,Gwen,Renekton,Nocturne,11.11,,,,
Thresh,Ezreal,Rumble,Udyr,11.11,,,,
Viego,Lee Sin,Akali,Sylas,11.11,,,,
Senna,Kaisa,Tristana,KogMaw,11.11,,,,
Varus,Jhin,Leona,Braum,11.11,,,,
,,,,,Misfits Gaming,Team Vitality,blue_side,red_side
Renekton,Gwen,Wukong,Viego,11.11,,,,
Lee Sin,Kalista,Sejuani,Xin Zhao,11.11,,,,
Lulu,Karma,Akali,Sylas,11.11,,,,
Leona,Volibear,Kaisa,Ezreal,11.11,,,,
Braum,Udyr,Nautilus,Taric,11.11,,,,
