blue_bans,red_bans,blue_picks,red_picks,patch,Blue Side Roster,Red Side Roster,blue_side,red_side,winner,loser
Morgana,Lee Sin,Rumble,Volibear,11.9,,,,,,
Varus,Udyr,Qiyana,Lissandra,11.9,,,,,,
Gnar,Urgot,Aphelios,Kaisa,11.9,,,,,,
Orianna,Kassadin,Thresh,Leona,11.9,,,,,,
,,,,,,,Pentanet.GG,MAD Lions,red_side,blue_side
Lucian,Udyr,Lee Sin,Jayce,11.9,,,,,,
Varus,Morgana,Volibear,Rumble,11.9,,,,,,
Thresh,Renekton,Zoe,Twisted Fate,11.9,,,,,,
Gnar,Nidalee,Kaisa,Xayah,11.9,,,,,,
Orianna,Olaf,Leona,Nautilus,11.9,,,,,,
,,,,,,,Cloud9,Royal Never Give Up,blue_side,red_side
Renekton,Thresh,Lee Sin,Aatrox,11.9,,,,,,
Nocturne,Varus,Rumble,Udyr,11.9,,,,,,
Tahm Kench,Lucian,Viktor,Zoe,11.9,,,,,,
Gnar,Leona,Xayah,Kaisa,11.9,,,,,,
Sett,Orianna,Rakan,Nautilus,11.9,,,,,,
,,,,,,,MAD Lions,DWG KIA,red_side,blue_side
Lucian,Udyr,Jayce,Lee Sin,11.9,,,,,,
Varus,Morgana,Rumble,Lillia,11.9,,,,,,
Thresh,Renekton,Zoe,Twisted Fate,11.9,,,,,,
Volibear,Sett,Xayah,Kaisa,11.9,,,,,,
Olaf,Nocturne,Leona,Nautilus,11.9,,,,,,
,,,,,,,PSG Talon,Royal Never Give Up,red_side,blue_side
Senna,Renekton,Gangplank,Gnar,11.9,,,,,,
Lucian,Lee Sin,Udyr,Rumble,11.9,,,,,,
Varus,Thresh,Viktor,Orianna,11.9,,,,,,
Wukong,Sylas,Xayah,Kaisa,11.9,,,,,,
Jayce,Nocturne,Leona,Nautilus,11.9,,,,,,
,,,,,,,PSG Talon,MAD Lions,blue_side,red_side
Gnar,Thresh,Renekton,Gangplank,11.9,,,,,,
Varus,Tahm Kench,Morgana,Udyr,11.9,,,,,,
Senna,Lee Sin,Orianna,Viktor,11.9,,,,,,
Jayce,Leona,Tristana,Kaisa,11.9,,,,,,
Syndra,Lucian,Alistar,Nautilus,11.9,,,,,,
,,,,,,,Cloud9,DWG KIA,red_side,blue_side
Morgana,Lucian,Gragas,Jayce,11.9,,,,,,
Renekton,Udyr,Rumble,Nidalee,11.9,,,,,,
Thresh,Lee Sin,Nocturne,Akali,11.9,,,,,,
Qiyana,Sylas,Varus,Tristana,11.9,,,,,,
Kaisa,Irelia,Nautilus,Leona,11.9,,,,,,
,,,,,,,Royal Never Give Up,Pentanet.GG,blue_side,red_side
Thresh,Senna,Lee Sin,Shen,11.9,,,,,,
Varus,Renekton,Morgana,Udyr,11.9,,,,,,
Lucian,Leona,Zoe,Viktor,11.9,,,,,,
Gnar,Alistar,Kaisa,Tristana,11.9,,,,,,
Orianna,Rell,Sett,Nautilus,11.9,,,,,,
,,,,,,,DWG KIA,MAD Lions,blue_side,red_side
Thresh,Lucian,Gnar,Lee Sin,11.9,,,,,,
Renekton,Udyr,Rumble,Morgana,11.9,,,,,,
Senna,Varus,Viktor,Zoe,11.9,,,,,,
Akali,Sylas,Kaisa,Tristana,11.9,,,,,,
Galio,Nocturne,Leona,Nautilus,11.9,,,,,,
,,,,,,,Royal Never Give Up,PSG Talon,red_side,blue_side
Gnar,Lucian,Jayce,Yorick,11.9,,,,,,
Varus,Lee Sin,Udyr,Morgana,11.9,,,,,,
Thresh,Renekton,Zoe,Syndra,11.9,,,,,,
Urgot,Sylas,Tahm Kench,Samira,11.9,,,,,,
Sion,Orianna,Senna,Nautilus,11.9,,,,,,
,,,,,,,Cloud9,Pentanet.GG,blue_side,red_side
Renekton,Senna,Jayce,Gnar,11.9,,,,,,
Thresh,Lucian,Rumble,Morgana,11.9,,,,,,
Lee Sin,Udyr,Viktor,Galio,11.9,,,,,,
Nocturne,Wukong,Tristana,Kaisa,11.9,,,,,,
Akali,Sylas,Leona,Nautilus,11.9,,,,,,
,,,,,,,MAD Lions,PSG Talon,blue_side,red_side
Lucian,Thresh,Gnar,Jayce,11.9,,,,,,
Renekton,Varus,Rumble,Udyr,11.9,,,,,,
Sylas,Morgana,Lee Sin,Zoe,11.9,,,,,,
Leona,Senna,Xayah,Kaisa,11.9,,,,,,
Nocturne,Samira,Alistar,Nautilus,11.9,,,,,,
,,,,,,,Pentanet.GG,DWG KIA,red_side,blue_side
Gnar,Renekton,Sett,Lee Sin,11.9,,,,,,
Varus,Tristana,Udyr,Morgana,11.9,,,,,,
Thresh,Senna,Viktor,Akali,11.9,,,,,,
Nautilus,Kalista,KogMaw,Kaisa,11.9,,,,,,
Blitzcrank,Alistar,Lulu,Leona,11.9,,,,,,
,,,,,,,Cloud9,PSG Talon,red_side,blue_side
Renekton,Senna,Wukong,Gnar,11.9,,,,,,
Kaisa,Varus,Morgana,Olaf,11.9,,,,,,
Udyr,Rumble,Orianna,Twisted Fate,11.9,,,,,,
Jayce,Lucian,Jinx,Aphelios,11.9,,,,,,
Lee Sin,Viktor,Tahm Kench,Thresh,11.9,,,,,,
,,,,,,,MAD Lions,Royal Never Give Up,red_side,blue_side
Thresh,Gnar,Sion,Karma,11.9,,,,,,
Renekton,Varus,Rumble,Udyr,11.9,,,,,,
Lee Sin,Nautilus,Syndra,Lucian,11.9,,,,,,
Orianna,Viktor,Tahm Kench,Ashe,11.9,,,,,,
Nocturne,Jayce,Senna,Lulu,11.9,,,,,,
,,,,,,,DWG KIA,Cloud9,blue_side,red_side
Lucian,Morgana,Sion,Jayce,11.9,,,,,,
Renekton,Varus,Olaf,Udyr,11.9,,,,,,
Nautilus,Qiyana,Lee Sin,Sylas,11.9,,,,,,
Sett,Rumble,Aphelios,KogMaw,11.9,,,,,,
Orianna,Urgot,Lulu,Karma,11.9,,,,,,
