blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
,,,,,Evil Geniuses,Immortals,blue_side,red_side
Ryze,Jarvan IV,Graves,Jayce,12.4,,,,
Gwen,Zeri,Hecarim,Xin Zhao,12.4,,,,
Karma,Caitlyn,Viktor,Corki,12.4,,,,
Ahri,Orianna,Jinx,Aphelios,12.4,,,,
Tryndamere,Zoe,Tahm Kench,Nautilus,12.4,,,,
,,,,,Dignitas,100 Thieves,blue_side,red_side
Ryze,Zeri,Graves,Irelia,12.4,,,,
Tahm Kench,Gwen,Viego,Hecarim,12.4,,,,
Gnar,Volibear,Orianna,Corki,12.4,,,,
Zilean,Syndra,Jinx,Aphelios,12.4,,,,
Tryndamere,Viktor,Nautilus,Thresh,12.4,,,,
,,,,,Immortals,Golden Guardians,red_side,blue_side
Ryze,Karma,Graves,Rumble,12.4,,,,
Gwen,Zeri,Xin Zhao,Lee Sin,12.4,,,,
Tryndamere,Tahm Kench,Zilean,Sylas,12.4,,,,
Jayce,Trundle,Jinx,Jhin,12.4,,,,
LeBlanc,Volibear,Thresh,Nautilus,12.4,,,,
,,,,,Team Liquid,TSM,blue_side,red_side
Aphelios,Ahri,Camille,Tryndamere,12.4,,,,
Jhin,Jinx,Viego,Lee Sin,12.4,,,,
Karma,Caitlyn,Galio,Ryze,12.4,,,,
Tristana,Syndra,Zeri,Kaisa,12.4,,,,
Renekton,Gwen,Yuumi,Nautilus,12.4,,,,
,,,,,CLG,Evil Geniuses,blue_side,red_side
Tahm Kench,Zeri,Jayce,Graves,12.4,,,,
Tryndamere,Ryze,Hecarim,Udyr,12.4,,,,
Veigar,Ahri,Corki,Zilean,12.4,,,,
Syndra,Gnar,Aphelios,Jinx,12.4,,,,
Orianna,Irelia,Leona,Braum,12.4,,,,
,,,,,Cloud9,FlyQuest,blue_side,red_side
Xin Zhao,Zeri,Graves,Gnar,12.4,,,,
Ahri,Gwen,Hecarim,Udyr,12.4,,,,
Tahm Kench,Jinx,Syndra,Ryze,12.4,,,,
Tryndamere,Zilean,Aphelios,Jhin,12.4,,,,
Irelia,Viktor,Nautilus,Thresh,12.4,,,,
,,,,,Evil Geniuses,Golden Guardians,blue_side,red_side
Ahri,Zeri,Graves,Camille,12.4,,,,
Caitlyn,Gwen,Trundle,Volibear,12.4,,,,
Hecarim,Karma,Syndra,Orianna,12.4,,,,
Irelia,Lee Sin,Jinx,Aphelios,12.4,,,,
Tryndamere,Udyr,Thresh,Tahm Kench,12.4,,,,
,,,,,FlyQuest,Immortals,red_side,blue_side
Karma,Zeri,Graves,Irelia,12.4,,,,
Caitlyn,Gwen,Hecarim,Lee Sin,12.4,,,,
Tahm Kench,Veigar,Ryze,Ahri,12.4,,,,
Tryndamere,Jayce,Aphelios,Jinx,12.4,,,,
Thresh,Gnar,Alistar,Leona,12.4,,,,
,,,,,Cloud9,100 Thieves,blue_side,red_side
Corki,Karma,Graves,Gnar,12.4,,,,
Ryze,Gwen,Lee Sin,Hecarim,12.4,,,,
Thresh,Zeri,Sylas,Viktor,12.4,,,,
Tryndamere,Syndra,Jinx,Aphelios,12.4,,,,
Xin Zhao,Ahri,Tahm Kench,Leona,12.4,,,,
,,,,,CLG,TSM,blue_side,red_side
Graves,Jarvan IV,Gnar,Camille,12.4,,,,
Jayce,Zeri,Hecarim,Trundle,12.4,,,,
Jinx,Caitlyn,Orianna,Ryze,12.4,,,,
Zilean,LeBlanc,Ezreal,Aphelios,12.4,,,,
