blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Lulu,Sylas,Gnar,Sejuani,12.12,,,,
Lucian,Seraphine,Xin Zhao,Viego,12.12,,,,
Twitch,Yone,Swain,Corki,12.12,,,,
Tahm Kench,Trundle,Zeri,Jinx,12.12,,,,
Renata Glasc,Jarvan IV,Rakan,Nautilus,12.12,,,,
,,,,,TSM,FlyQuest,blue_side,red_side
Senna,Seraphine,Gangplank,Sejuani,12.12,,,,
Gnar,Zeri,Volibear,Wukong,12.12,,,,
Fiora,Kalista,Orianna,Taliyah,12.12,,,,
Aphelios,Swain,Lucian,KogMaw,12.12,,,,
Ezreal,Azir,Nami,Lulu,12.12,,,,
,,,,,Team Liquid,Golden Guardians,blue_side,red_side
Sylas,Azir,Gangplank,Gwen,12.12,,,,
Yone,Fiora,Poppy,Gragas,12.12,,,,
Seraphine,Swain,Ahri,Yasuo,12.12,,,,
Renata Glasc,LeBlanc,Zeri,Kalista,12.12,,,,
Ornn,Taliyah,Nautilus,Alistar,12.12,,,,
,,,,,Immortals,CLG,red_side,blue_side
Lucian,Seraphine,Shyvana,Gangplank,12.12,,,,
Udyr,Jarvan IV,Viego,Volibear,12.12,,,,
Twitch,Kayle,Ahri,LeBlanc,12.12,,,,
Gragas,Sylas,Zeri,Kalista,12.12,,,,
Azir,Swain,Renata Glasc,Amumu,12.12,,,,
,,,,,TSM,Cloud9,red_side,blue_side
Senna,Jarvan IV,Shyvana,Gangplank,12.12,,,,
Corki,Kalista,Viego,Poppy,12.12,,,,
Seraphine,Gragas,Sylas,LeBlanc,12.12,,,,
Nautilus,Yuumi,Zeri,Jinx,12.12,,,,
Xin Zhao,Sejuani,Lulu,Renata Glasc,12.12,,,,
,,,,,Dignitas,Evil Geniuses,red_side,blue_side
Seraphine,Gnar,Gragas,Sejuani,12.12,,,,
Twitch,Kalista,Wukong,Viego,12.12,,,,
Lucian,Sylas,Corki,Lissandra,12.12,,,,
Fiora,Ornn,Yasuo,Zeri,12.12,,,,
Aatrox,Poppy,Senna,Lulu,12.12,,,,
,,,,,100 Thieves,FlyQuest,red_side,blue_side
Lucian,Senna,Gwen,Akali,12.12,,,,
Aphelios,Seraphine,Volibear,Wukong,12.12,,,,
Kalista,Yuumi,Viktor,Corki,12.12,,,,
Tahm Kench,Fiora,Zeri,Jinx,12.12,,,,
Ornn,Lulu,Nautilus,Renata Glasc,12.12,,,,
,,,,,Immortals,100 Thieves,red_side,blue_side
Trundle,Senna,Gnar,Aatrox,12.12,,,,
Udyr,Seraphine,Wukong,Volibear,12.12,,,,
Draven,Yone,Corki,Swain,12.12,,,,
Gangplank,Renata Glasc,Kalista,Zeri,12.12,,,,
Jayce,Gwen,Amumu,Rakan,12.12,,,,
,,,,,CLG,Team Liquid,red_side,blue_side
Seraphine,Yuumi,Fiora,Jayce,12.12,,,,
Wukong,Udyr,Gragas,Lee Sin,12.12,,,,
Rakan,Senna,Yasuo,Ahri,12.12,,,,
Tahm Kench,Gangplank,Zeri,Jinx,12.12,,,,
Kayle,Renata Glasc,Lulu,Braum,12.12,,,,
,,,,,Cloud9,FlyQuest,red_side,blue_side
Kalista,Wukong,Gangplank,Sejuani,12.12,,,,
Corki,LeBlanc,Kayn,Zac,12.12,,,,
Twitch,Zeri,Swain,Yone,12.12,,,,
Diana,Tahm Kench,Seraphine,Yasuo,12.12,,,,
Udyr,Renekton,Gragas,Senna,12.12,,,,
,,,,,Evil Geniuses,Golden Guardians,blue_side,red_side
Seraphine,Lucian,Gragas,Gnar,12.12,,,,
Senna,Volibear,Xin Zhao,Viego,12.12,,,,
Wukong,Jarvan IV,Azir,Corki,12.12,,,,
Galio,Trundle,Zeri,Kalista,12.12,,,,
Zoe,Udyr,Yuumi,Renata Glasc,12.12,,,,
,,,,,Dignitas,TSM,blue_side,red_side
Gragas,Seraphine,Yone,Tryndamere,12.12,,,,
Lulu,Corki,Viego,Udyr,12.12,,,,
Gangplank,Taliyah,Zoe,Azir,12.12,,,,
Fiora,Lillia,Tahm Kench,Zeri,12.12,,,,
LeBlanc,Wukong,Senna,Yuumi,12.12,,,,
,,,,,CLG,Cloud9,red_side,blue_side
Kalista,Seraphine,Sejuani,Gnar,12.12,,,,
Belveth,Senna,Volibear,Trundle,12.12,,,,
Corki,Wukong,Azir,Viktor,12.12,,,,
Gwen,Xin Zhao,Zeri,Lucian,12.12,,,,
Fiora,Gangplank,Lulu,Nami,12.12,,,,
,,,,,Golden Guardians,Immortals,blue_side,red_side
Twisted Fate,Senna,Ornn,Gangplank,12.12,,,,
Trundle,Lee Sin,Wukong,Udyr,12.12,,,,
Seraphine,Zeri,Orianna,Corki,12.12,,,,
Jarvan IV,Gragas,Aphelios,Kalista,12.12,,,,
Volibear,Ahri,Lulu,Renata Glasc,12.12,,,,
,,,,,100 Thieves,Team Liquid,blue_side,red_side
Kalista,Zeri,Camille,Mordekaiser,12.12,,,,
Volibear,Seraphine,Xin Zhao,Jarvan IV,12.12,,,,
Gragas,Wukong,Corki,Viktor,12.12,,,,
Gangplank,Lee Sin,Tahm Kench,Lucian,12.12,,,,
Ornn,Vi,Senna,Nami,12.12,,,,
,,,,,FlyQuest,Dignitas,blue_side,red_side
Ezreal,Zeri,Ornn,Sejuani,12.12,,,,
Wukong,Kalista,Lee Sin,Viego,12.12,,,,
Seraphine,Senna,Azir,Corki,12.12,,,,
Jinx,Rumble,Lucian,Miss Fortune,12.12,,,,
Aphelios,Gangplank,Nami,Yuumi,12.12,,,,
,,,,,TSM,Evil Geniuses,red_side,blue_side
Volibear,Zeri,Ornn,Gnar,12.11,,,,
Wukong,Lucian,Lee Sin,Gragas,12.11,,,,
Kalista,Fiora,Corki,Yasuo,12.11,,,,
Ahri,Gwen,Ezreal,Tahm Kench,12.11,,,,
Viktor,Viego,Yuumi,Senna,12.11,,,,
,,,,,Immortals,Dignitas,red_side,blue_side
Seraphine,Zeri,Gragas,Gwen,12.11,,,,
Lucian,Wukong,Xin Zhao,Viego,12.11,,,,
Kalista,Senna,Corki,Sylas,12.11,,,,
Fiora,Gangplank,Ezreal,Kaisa,12.11,,,,
Taliyah,Kayle,Rakan,Nautilus,12.11,,,,
,,,,,Evil Geniuses,CLG,red_side,blue_side
Corki,Yuumi,Gangplank,Gwen,12.11,,,,
Wukong,Fiora,Gragas,Volibear,12.11,,,,
Lucian,LeBlanc,Yone,Azir,12.11,,,,
Kayle,Orianna,Zeri,Tahm Kench,12.11,,,,
Viego,Viktor,Lulu,Senna,12.11,,,,
,,,,,Cloud9,100 Thieves,blue_side,red_side
Jayce,Volibear,Gangplank,Aatrox,12.11,,,,
Yuumi,Lucian,Trundle,Wukong,12.11,,,,
Ahri,Twisted Fate,Swain,LeBlanc,12.11,,,,
Corki,Mordekaiser,Zeri,Twitch,12.11,,,,
Azir,Ornn,Lulu,Rakan,12.11,,,,
,,,,,Team Liquid,FlyQuest,blue_side,red_side
Kalista,Zeri,Fiora,Gnar,12.11,,,,
Viego,Wukong,Xin Zhao,Volibear,12.11,,,,
Ezreal,Lucian,Corki,Yasuo,12.11,,,,
Yone,Ornn,Dr. Mundo,Seraphine,12.11,,,,
Gangplank,Nautilus,Senna,Karma,12.11,,,,
,,,,,Golden Guardians,TSM,blue_side,red_side
Braum,Twisted Fate,Gnar,Jayce,12.11,,,,
Lucian,Senna,Udyr,Wukong,12.11,,,,
Aphelios,Yone,Taliyah,Ahri,12.11,,,,
Corki,Fiora,Zeri,Twitch,12.11,,,,
Camille,Gangplank,Sona,Yuumi,12.11,,,,
,,,,,CLG,FlyQuest,red_side,blue_side
